Id,Followers,Following,Retweet Count,is_retweet,is_mention,Betweenness,Degree,Closeness,Influence Score
ABPNews,13254113.0,37.0,17.0,0.0,0.0,5.864345949496251e-06,0.0029644268774703555,0.0029644268774703555,94002110.49464269
ZeeNewsEnglish,5652959.0,26.0,1.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,40092481.822665334
News18India,3094996.0,90.0,2.0,0.0,1.0,5.864345949496251e-06,0.0029644268774703555,0.0029644268774703555,21950757.85638669
AmarUjalaNews,2085040.0,86.0,1.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,14787847.763698328
tv9gujarati,912951.0,64.0,2.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,6475015.114557329
TheStudyofWar,581790.0,2761.0,1.5,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,4130499.636246329
TV9Bharatvarsh,230429.0,21.0,1.75,0.0,0.75,0.0,0.0009881422924901185,0.0009881422924901185,1634302.535859829
anjali_speak,105789.0,420.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,750936.8552713289
RajLaveena,89029.0,266.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,631831.6087213289
janrostowski,57341.0,457.0,73.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,407388.1703083291
HillBeverlyhill,34277.0,33173.0,56.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,294460.61765432905
kk131066,31488.0,26137.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,263786.2952133291
RebHarms,35262.0,3195.0,19.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,255035.18286732904
ob2133,23916.0,19889.0,81.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,200412.18751132904
s_szama,26005.0,7444.0,40.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,195960.36442732904
Bharat24Liv,23682.0,15.0,1.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,167982.93079932907
oneindiagujarat,22750.0,2027.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,164487.78123732904
AlCannistra,18141.0,18762.0,5.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,157707.87845532905
HeyIrish,16071.0,16418.0,11.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,139398.07870132904
FabioGhironi,18551.0,3534.0,1107.3333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0009881422924901185,0.0009881422924901185,137062.84231932904
OfHomoSapiens,15670.0,14197.0,90.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,133117.22428732904
GueberB,15024.0,14399.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,128846.49917932905
Guate_Inmortal_,16869.0,1829.0,195.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,122475.43888432905
radiojud,14978.0,808.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,107479.29944232905
oUqXP4RXQRmPtlw,13883.0,5046.0,37.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,106275.05195332906
craigthomler,10683.0,10839.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,92547.44381232906
bo_chart,10698.0,10296.0,22.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,91813.60730832902
BrennpunktUA,12059.0,885.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,86896.08376432906
Chr_Steven_76,9569.0,9989.0,78.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,83332.27447532905
OrioliAlberto,9515.0,9713.0,66.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,82521.74554832904
CharlieInUtah,8844.0,9745.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,77811.03541532905
RAVIMISHRA_TV,9989.0,683.0,2.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,71902.36080932905
GeneralPutnam2,8306.0,7503.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,70524.39792532905
anchorjiya,9898.0,147.0,4.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,70427.18158532906
dsshake,8013.0,7845.0,0.0,0.0,0.5,0.0,0.0009881422924901185,0.0009881422924901185,68975.82508632905
futuredude,8089.0,6435.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,67331.94080432906
rsm3919,7739.0,7632.0,38.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,66703.55293732905
cucojose,7250.0,7917.0,20.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,63676.28978032905
1foreverseeking,7689.0,5906.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,63676.09030132905
naalsio26,8694.0,172.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,61926.683304329046
_Alaska_Nina,6481.0,6562.0,10.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,56124.35280532904
ramana1729,6151.0,6719.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,54026.75299032905
Luminaria98,5905.0,6502.0,0.0,0.0,1.0,0.0,0.0009881422924901185,0.0009881422924901185,51946.09927732905
Da_wild_west,5885.0,6291.0,19.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,51477.97928632905
News247gh,7149.0,2.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,50705.904269329054
generalklaus1,5979.0,4874.0,33.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,49951.20403732905
DopeyNortherner,6503.0,2080.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,49341.349081329055
tufkaa,5745.0,5327.0,8.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,48992.413040329055
EthicsSense,4846.0,4767.0,7.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,41749.45448732904
CheriB2022,4635.0,5040.0,9.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,40675.66767132905
debraalv,4609.0,5028.0,7.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,40472.64950132905
swatigar,5034.0,1005.0,41.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,37259.33822532905
Monstercoyliar,4165.0,4515.0,52.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,36530.383464329054
rosalindprestag,4063.0,4852.0,68.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,36329.033522329046
Chairman_Meowed,3835.0,4992.0,58.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,34928.518785329055
SmBMSUBronco,3820.0,5003.0,130.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,34840.62900732905
psu4joe,3880.0,4403.0,29.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,34335.218641329055
albafella1,3981.0,3481.0,1.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,33623.57163632905
MelanieLake,4053.0,2867.0,8.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,33183.79198432905
ungubunugu1274,3810.0,3458.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,32375.202314329046
MFaizanrkhan,3700.0,3748.0,19.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,32044.360916329046
Ewacg,3313.0,4942.0,260.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,31153.05415432905
itzmeakashmazz,4277.0,233.0,8.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,30694.625346329045
40Maurice,4189.0,452.0,5.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,30409.488469329044
George_Cochrane,3182.0,4992.0,4.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,30296.15277232905
KJamake,3130.0,4990.0,7.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,29924.31826432905
NNaranont,4176.0,87.0,77.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,29753.67699732905
raumunz,3071.0,4996.0,88.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,29516.820106329047
TheDogeSon1,3557.0,2712.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,29425.887863329048
Taro312,3012.0,5000.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,29102.78716432905
FroodyWisco,2979.0,4740.0,29.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,28466.801056329045
rams_stan,2865.0,5002.0,8.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,28063.458825329046
luqmanadil262,3554.0,1754.0,4.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,27921.559878329048
antipodal,2983.0,4000.0,0.0,0.0,1.0,0.0,0.0009881422924901185,0.0009881422924901185,27348.93532132905
LoriIllia,2708.0,5026.0,27.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,26987.511118329046
Bobduff1,2863.0,3386.0,7.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,25547.43541332905
kuronekococochi,2486.0,4972.0,16.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,25329.19789632905
theAndiL,2636.0,4197.0,97.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,25194.86974732905
artursorin,3283.0,1011.0,19.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,24849.574500329047
kingKalyan333,3015.0,2208.0,8.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,24801.757705329044
DoubleONAFO,2656.0,3697.0,29.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,24561.26475232905
SherBah46958042,2357.0,4956.0,5.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,24389.297813329045
FellaNafoFella,2816.0,2730.0,202.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,24202.475432329047
yume6tsumi0,2811.0,2547.0,3.0,0.5,0.5,0.0,0.0009881422924901185,0.0009881422924901185,23879.652748329045
2old4thishappy1,2262.0,5006.0,17.666666666666668,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,23793.195444329045
beansi50,2771.0,2289.0,24.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,23196.964304329045
PJKathmandu,2409.0,3848.0,38.333333333333336,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,23043.419509329047
kazooooya,2953.0,983.0,48.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,22466.359504329048
dee4peace,2700.0,2021.0,0.0,0.5,0.5,0.0,0.0009881422924901185,0.0009881422924901185,22278.01765732905
AccountableRep,2057.0,4903.0,155.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,22182.609598329047
hopedowdlist,2503.0,2834.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,22139.485951329047
a1a697fbd80147c,2449.0,2825.0,5.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,21742.67046432905
Rohtashmandan25,2004.0,4863.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,21741.678931329046
TheHardMan21,2288.0,3523.0,63.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,21682.603549329047
Lacrima666,1931.0,5002.0,130.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,21441.73937532905
FabianC__,2931.0,335.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,21306.14801032905
JakobiKirstin,1912.0,5001.0,7.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,21302.93509532905
BlueCollarBob30,2470.0,2307.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,21089.603289329047
JohnLocker4,2098.0,3937.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,20974.722251329047
HephaestusAngry,2149.0,3618.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,20842.58809532905
Sofhietje,1782.0,5001.0,5.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,20380.896313329045
johnanewquist,2282.0,2662.0,53.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,20306.884876329048
deweyjaci76,2142.0,3132.0,0.0,0.0,1.0,0.0,0.0009881422924901185,0.0009881422924901185,20040.51836832905
areyouscreening,2418.0,1778.0,7.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,19901.93178832905
accophoto,1857.0,4158.0,25.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,19608.130543329047
ACurrle,2091.0,3033.0,155.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,19528.69771032905
seaoflalune,2385.0,1487.0,51.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,19218.26823832905
powerfromspace1,1617.0,4999.0,63.666666666666664,0.6666666666666666,0.3333333333333333,0.0,0.0009881422924901185,0.0009881422924901185,19208.765290329047
By369Surrounded,2078.0,2857.0,83.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,19162.55770932905
ronaldobianque9,1562.0,5000.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,18818.98266032905
Wildraar,1558.0,5002.0,75.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,18795.19505632905
gavinbena,2482.0,558.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,18466.96736432905
KarolRynhart,2124.0,2051.0,13.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,18239.56603732905
aplusbequalsc,2210.0,1597.0,8.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,18146.539135329047
YouCanFoolMost,2506.0,240.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,18144.86910632905
OvertDefense,2525.0,127.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,18104.66081232905
wildmarshphoto,1459.0,5000.0,91.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,18090.297448329045
IiiLandon,2379.0,722.0,195.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,17994.305729329048
nadbeau,1429.0,5015.0,455.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,17908.14675432905
Scot_Proud1,1945.0,2560.0,1.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,17757.81233332905
Seb_St_Emilion,2031.0,2125.0,132.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,17696.96743232905
StepanGronk,2484.0,23.0,1.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,17652.88902532905
1hogfanwps11,1384.0,5007.0,67.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,17568.71408132905
terpsichore_los,1378.0,4986.0,33.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,17492.95730432905
Urfin_1648,2115.0,1507.0,345.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,17340.29395232905
Angela_Twenty2,1956.0,2113.0,19.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,17144.168499329047
Logic_357,1731.0,2931.0,100.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,16816.441390329048
alifaizan748,2355.0,47.0,19.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,16775.50517632905
queeniepng,1369.0,4447.0,152.0,0.5,0.5,0.0,0.0009881422924901185,0.0009881422924901185,16597.09229632905
GBrakourakis,1274.0,4735.0,4.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,16366.181893329049
Dora00057,1750.0,2545.0,50.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,16352.58982732905
cleary_clearly,1449.0,3844.0,195.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,16231.813149329051
morisyun0741,1217.0,4883.0,4.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,16191.05830532905
DonQuixote1950,1660.0,2806.0,1356.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,16144.92378832905
AleksandrX13,2063.0,952.0,321.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,16111.780387329049
MarciLeeMurray,1161.0,4987.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,15954.806460329051
LSUSA83,1786.0,2108.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,15930.37168632905
ViejAmarga,1781.0,2092.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,15870.13974132905
freejewellery,1359.0,3982.0,9.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,15803.367813329052
CorruptPunjab,1433.0,3454.0,897.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,15528.838903329051
pps43,1775.0,1816.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,15400.27485732905
cwl2017,1808.0,1633.0,10.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,15351.21162132905
FrRosbar,1171.0,4463.0,4.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,15214.57755432905
Goblinoid777,1531.0,2740.0,78.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,15101.83757332905
ShehabBawazeer2,1885.0,1060.0,0.5,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,15010.032080329049
Catz4maga,1108.0,4444.0,0.0,0.0,1.0,0.0,0.0009881422924901185,0.0009881422924901185,14738.26676632905
deltacrook,1897.0,768.0,195.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,14647.03563332905
tubegrrl,924.0,4968.0,78.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,14246.115235329049
Tian_A1,1815.0,886.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,14244.182427329051
MaximGromkij,1772.0,972.0,0.0,0.0,1.0,0.0,0.0009881422924901185,0.0009881422924901185,14072.35515832905
funkibloo,1411.0,2625.0,5.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,14071.239330329052
OkidokiSocial,1911.0,77.0,1.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,13672.60550632905
anil7kishan,1601.0,1384.0,25.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,13497.92156532905
ArthurLandon,1730.0,631.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,13246.557997329051
DanaSG4,1368.0,2236.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,13163.97739832905
solar_extreme,1073.0,3322.0,27.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,12753.555943329051
kelvinchaloh97,988.0,3676.0,52.285714285714285,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,12699.272371471907
FALKE_BOT,1242.0,2357.0,50.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,12458.65184332905
apidlusky,1034.0,3297.0,64.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,12439.00544332905
vjgfernandes,1294.0,2076.0,18.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,12391.768452329052
HollyGenesis,874.0,3946.0,75.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,12309.214964329049
JustmeAnybody,1268.0,2068.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,12194.63771232905
MuscleORACLE,1057.0,3015.0,96.5,1.0,0.0,0.0,0.0009881422924901185,0.0013175230566534913,12166.210637870223
HeinzLindenmann,1039.0,3027.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,12055.16291432905
ManashJMahanta1,1393.0,1385.0,41.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,12024.598312329052
meeraharish,1007.0,3110.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,11956.70640332905
PatuMarius,579.0,4999.0,105.2,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,11847.81019352905
BubblesToBurst,1146.0,2348.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,11762.88171232905
brenthunt777,1186.0,2032.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,11557.315760329051
JaxGoodGuy,1297.0,1412.0,224.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,11389.261687329052
Mospedaw1,518.0,4971.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,11369.69158132905
jumasteve,1131.0,2052.0,53.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,11199.28108332905
Webster69Dw,1137.0,2007.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,11171.08952832905
CalvinSquires,770.0,3627.0,130.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,11078.87407732905
BrianDogeMiller,928.0,2764.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10860.77397232905
Shahzebalvi4,1385.0,665.0,5.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10852.455912329053
DGue22,944.0,2620.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10751.316340329051
franchescojpr,759.0,3293.0,4.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10481.21148832905
diypotus,1301.0,799.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10464.054340329052
braedalibby,1179.0,1328.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10417.78893532905
zahdehz,370.0,5005.0,1.0,0.5,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10372.68983332905
ljaynekeen,594.0,3972.0,304.0,1.0,0.0,0.0,0.0009881422924901185,0.0017786561264822131,10368.286397627862
MontyTheHorse12,597.0,3856.0,79.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10205.39723732905
DakotaSidwell,1054.0,1749.0,49.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10184.00217332905
PeterRiebeek1,921.0,2248.0,19.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,10012.646169329051
